categorie,type,prix,adresse,lien
chaussures-homme,Sneakers navy flex,30000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5759795_uploaded_image1_1770295782.jpg
chaussures-homme,Baskets Adidas Samba,30000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5758567_uploaded_image1_1770231739.jpg
chaussures-homme,Baskets Adidas/ Adistar répétitor,18000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5758312_uploaded_image1_1770221944.jpg
chaussures-homme,Chaussures hommes,13000.0,"location_onDiamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5756505_uploaded_image1_1770135001.jpg
chaussures-homme,Chaussures Hermès,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5751239_uploaded_image1_1769862397.jpg
chaussures-homme,Baskets Air Force One,12000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5748304_uploaded_image1_1769701708.jpg
chaussures-homme,Chaussures Timberland,35000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5748200_uploaded_image1_1769697271.jpg
chaussures-homme,Baskets Hugo Boss,20000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5748195_uploaded_image1_1769697106.jpg
chaussures-homme,Chaussures  homme,18000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5747868_uploaded_image1_1769685507.jpg
chaussures-homme,Chaussures  homme,22000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5746871_uploaded_image1_1769620042.jpg
chaussures-homme,Vans Timberland,17000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5746866_uploaded_image1_1769619782.jpg
chaussures-homme,Chaussures TN,14900.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5745917_uploaded_image1_1769593923.jpg
chaussures-homme,Chaussures Campus,14900.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5745914_uploaded_image1_1769593852.jpg
chaussures-homme,Chaussures tn,14900.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5745876_uploaded_image1_1769593110.jpg
chaussures-homme,Chaussures Campus,14900.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5745868_uploaded_image1_1769592986.jpg
chaussures-homme,Timberlands Louis Vouitton,35000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5740532_uploaded_image1_1769344299.jpg
chaussures-homme,Baskets New Balance 1000,30000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5740531_uploaded_image1_1769344168.jpg
chaussures-homme,Timberlands Louis Vouitton,35000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5740527_uploaded_image1_1769343954.jpg
chaussures-homme,Chaussures Sebago,13000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5737758_uploaded_image1_1769194673.jpg
chaussures-homme,Chaussures  homme,32000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5729550_uploaded_image1_1768854964.jpg
chaussures-homme,Baskets Hermes Chypre,10000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5724452_uploaded_image1_1768570104.jpg
chaussures-homme,Crocs homme,8000.0,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_5720276_uploaded_image1_1768382635.jpg
chaussures-homme,Chaussures New Balance 1000,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5719053_uploaded_image1_1768321893.jpg
chaussures-homme,Chaussures New Balance 1000,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5719051_uploaded_image1_1768321795.jpg
chaussures-homme,Baskets Sebago,13000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5719030_uploaded_image1_1768320367.jpg
chaussures-homme,Baskets New Balance 1000,25000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5719027_uploaded_image1_1768320204.jpg
