categorie,type,prix,adresse,lien
chaussures-enfants,Basket,5000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5080428_uploaded_image1_1733555768.jpg
chaussures-enfants,Claquettes,8450.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5047806_uploaded_image1_1731804849.jpg
chaussures-enfants,Ensemble chaussures et chaussettes pour bebe,1800.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg
chaussures-enfants,Baskets Nike Air Max,6000.0,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4979173_uploaded_image1_1728164387.jpg
chaussures-enfants,Jordan enfants,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4976138_uploaded_image1_1728002356.jpg
chaussures-enfants,jordans enfants,20000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4969624_uploaded_image1_1727758825.jpg
chaussures-enfants,Chaussures enfant,4000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4950665_uploaded_image1_1726682392.jpg
chaussures-enfants,Chaussures enfants,13000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4934544_uploaded_image1_1725833379.jpg
chaussures-enfants,Baskets Nike enfants,15000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930603_uploaded_image1_1725607998.jpg
chaussures-enfants,Baskets Jordan enfants,15000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4930596_uploaded_image1_1725607117.jpg
chaussures-enfants,Chaussures enfant,17000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4928091_uploaded_image1_1725487369.jpg
chaussures-enfants,Baskets  Jordan enfants,16000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4928088_uploaded_image1_1725487276.jpg
chaussures-enfants,Baskets Jordan 6,11000.0,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4921251_uploaded_image1_1725193733.jpg
chaussures-enfants,Baskets Nike React,9000.0,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4921241_uploaded_image1_1725193496.jpg
chaussures-enfants,Baskets enfant,8000.0,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4921233_uploaded_image1_1725193317.jpg
chaussures-enfants,Chaussures enfant,20000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4870683_uploaded_image2_1722496365.jpeg
chaussures-enfants,Chaussures enfants,3000.0,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4797078_uploaded_image1_1718482814.jpg
