categorie,type,prix,adresse,lien
vetements-homme,Chemise unique original 100℅ coton,5000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5682233_uploaded_image1_1766238315.jpg
vetements-homme,Ensemble tradi-moderne,12000.0,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_5717367_uploaded_image1_1768247011.jpg
vetements-homme,Pull,5000.0,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_5717358_uploaded_image1_1768246762.jpg
vetements-homme,Enchembe chemises lequete,20000.0,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5716418_uploaded_image1_1768213124.jpg
vetements-homme,Abaya simple,8000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5716402_uploaded_image1_1768212731.jpg
vetements-homme,Chemise homme,7000.0,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5715938_uploaded_image1_1768181503.jpg
vetements-homme,Vêtement homme,15000.0,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5715934_uploaded_image1_1768181319.jpg
vetements-homme,Chemises homme,10000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5715576_uploaded_image1_1768156314.jpg
vetements-homme,Chemises homme,10000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5715572_uploaded_image1_1768156103.jpg
vetements-homme,Ensemble homme,25000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg
vetements-homme,Blazer,25000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5713967_uploaded_image1_1768048084.jpg
vetements-homme,T-shirt Sénégal,10000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5713955_uploaded_image1_1768047812.jpg
vetements-homme,Balle de peignoir fripperie,70000.0,"location_onDiourbel, Sénégal",https://images.coinafrique.com/thumb_5709925_uploaded_image1_1767869309.jpg
vetements-homme,T-shirt,4500.0,"location_onMbour, Sénégal",https://images.coinafrique.com/thumb_5708349_uploaded_image1_1767792407.jpg
vetements-homme,Chemise Aladji,15000.0,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5704575_uploaded_image1_1767633661.jpg
vetements-homme,Chemise Aladji simple,10000.0,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5704570_uploaded_image1_1767633532.jpg
vetements-homme,Djialabé,15000.0,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5704567_uploaded_image2_1767633428.jpeg
vetements-homme,Djialabé,17000.0,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5704563_uploaded_image1_1767633321.jpg
vetements-homme,Djialabé,15000.0,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5704560_uploaded_image1_1767633210.jpg
vetements-homme,Liquette homme et femme,5500.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5703148_uploaded_image1_1767562157.jpg
vetements-homme,Jeans homme,4500.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5702153_uploaded_image1_1767517880.jpg
vetements-homme,Jacket en jeans,12000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5657793_uploaded_image1_1764952502.jpg
vetements-homme,Djalabeh,10000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5657723_uploaded_image1_1764949964.jpg
vetements-homme,Djalabeh,12000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5657721_uploaded_image1_1764949913.jpg
vetements-homme,Pantalon kaki,8000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5657707_uploaded_image1_1764949208.jpg
vetements-homme,Caleçons,1000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5657705_uploaded_image1_1764949059.jpg
vetements-homme,Jacket,14000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5657709_uploaded_image1_1764949418.jpg
vetements-homme,Chemise,7000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5657708_uploaded_image1_1764949263.jpg
vetements-homme,Pull-over,7000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5657710_uploaded_image1_1764949465.jpg
vetements-homme,Gilet,8000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5657703_uploaded_image1_1764948943.jpg
vetements-homme,Ensemble lacostes + kaki,13000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5669734_uploaded_image1_1765555257.jpg
vetements-homme,Blouson,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5657571_uploaded_image1_1764942132.jpg
vetements-homme,Ensemble homme,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5657576_uploaded_image1_1764942384.jpg
vetements-homme,Ensemble,22000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5682171_uploaded_image1_1766235033.jpg
vetements-homme,Ensemble en jeans,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5663474_uploaded_image1_1765280744.jpg
vetements-homme,Blouson,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5671819_uploaded_image1_1765709939.jpg
vetements-homme,Pull collant,5000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5667205_uploaded_image1_1765447970.jpg
vetements-homme,Pantalon bas large,7000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5674256_uploaded_image1_1765840156.jpg
